payroll_expense,payroll_taxes,payroll_benefits,payroll_bonuses,commissions
13200 - Due from Ally Capital,13200 - Due from Ally Capital,13200 - Due from Ally Capital,13200 - Due from Ally Capital,13200 - Due from Ally Capital
50004 - Core COS Producer Payroll Expense,50006 - Core COS Producer Payroll Taxes,50007 - Core COS Producer Payroll Benefits,50005 - Core COS Producer Payroll Bonus,50003 - Core Commissions
50008 - Core COS Support Payroll Expense,50010 - Core COS Support Payroll Taxes,50011 - Core COS Support Payroll Benefits,50009 - Core COS Support Payroll Bonus,50003 - Core Commissions
60300 - Payroll Expense,60301 - Payroll Taxes,60302 - Payroll Benefits,60303 - Payroll Bonuses,60303 - Payroll Bonuses
51004 - Emerging COS Producer Payroll Expense,51006 - Emerging COS Producer Payroll Taxes,51007 - Emerging COS Producer Payroll Benefits,51005 - Emerging COS Producer Payroll Bonus,51003 - Emerging Commissions
51008 - Emerging COS Support Payroll Expense,51010 - Emerging COS Support Payroll Taxes,51011 - Emerging COS Support Payroll Benefits,51009 - Emerging COS Support Payroll Bonus,51003 - Emerging Commissions
52004 - Growth COS Producer Payroll Expense,52006 - Growth COS Producer Payroll Taxes,52007 - Growth COS Producer Payroll Benefits,52005 - Growth COS Producer Payroll Bonus,52003 - Growth Commissions
52008 - Growth COS Support Payroll Expense,52010 - Growth COS Support Payroll Taxes,52011 - Growth  COS Support Payroll Benefits,52009 - Growth COS Support Payroll Bonus,52003 - Growth Commissions
60300 - Payroll Expense,60301 - Payroll Taxes,60302 - Payroll Benefits,60300 - Payroll Expense,60300 - Payroll Expense
53300 - Management COS & Accounting Payroll Expense,53310 - Management COS & Accounting Payroll Taxes,53320 - Management COS & Accounting Benefits,53305 - Management COS & Accounting Bonus,53305 - Management COS & Accounting Bonus
52508 - New Growth COS Support Payroll Expense,52506 - New Growth COS Producer Payroll Taxes,52507 - New Growth COS Producer Payroll Benefits,52509 - New Growth COS Support Payroll Bonus,52503 - New Growth Commissions
70300 - Payroll Expense - New Growth,70301 - Payroll Taxes - New Growth,70302 - Payroll Benefits - New Growth,70303 - Payroll Bonuses - New Growth,70303 - Payroll Bonuses - New Growth
